ID;CNPJ;NOME;ENDERECO;BAIRRO;MUNICIPIO;UF;CEP;DIST;TELEFONE;INSCRICAO ESTADUAL;EMAIL;FUNCIONARIOS;PRODUTOS;IMPORTADOR;EXPORTADOR;CNAE;Atividade;GRAU DE RISCO
11;  07.582.432/0001-05  ; A. & R. NUTRIcaO ANIMAL LTDA.  ;  Rua Joao Cardoso de Lima , 467  ; Jardim Nilza  ; Maringa  ;  PR  ; 87065-150  ;425; 0xx44 3355-7000  ; 90350211-80  ; rh@argroup.com.br  ;50; Farinha de Sangue, Farinha de Biferas,  ; Sim  ; Sim  ;10.66-0-00;10.66-0  Fabrica��o de alimentos para animais  ;3
12;  72.262.785/0002-62  ; A. C. COMERCIAL  ;  Rod. Br 116, 18299 Bl. B  ; Pinheirinho  ; Curitiba  ;  PR  ; 81690-900  ;0; 0xx41 2106-3300  ; 90397552-00  ; recepcao@todeschini.com.br  ;50; Massas, Biscoitos, Farinhas  ; Nao  ; Nao  ;10.94-5-00;10.94-5  Fabrica��o de massas aliment�cias  ;3
13;  76.295.344/0001-37  ; FaBRICA DE MoVEIS RORATO  ;  Rod. Pr 465, S/n Km 13 - Cx. P. 21Bairro ; ; Araruna  ;  PR  ; 87260-000  ;481; 0xx44 3562-1206  ; 80200367-62  ; ajrorato@ajrorato.ind.br  ;1500; Armarios Para Cozinha, Pias, Moveis Para  ; Sim  ; Sim  ;31.01-2-00;31.01-2  Fabrica��o de m�veis com predomin�ncia de madeira  ;3
14;  07.762.110/0001-30  ; GRUPO AMORA  ;  Rua Sao Geronimo, 362 B  ; Centro  ; Apucarana  ;  PR  ; 86800-610  ;364; 0xx43 3424-8044  ; 90359361-03  ; vendas@grupoamora.com.br  ;70; Jeans  ; Nao  ; Nao  ;14.14-2-00;14.14-2  Fabrica��o de acess�rios do vestu�rio, exceto para seguran�a e prote��o  ;2
15;  02.392.149/0001-99  ; VIA BRASIL CONFECcoES  ;  Rod. Pr 323, 6 Km 308  ; Pq. Industrial 2  ; Umuarama  ;  PR  ; 87507-085  ;559; 0xx44 3055-4450  ; 90154861-79  ; amtarocco@uol.com.br  ;75; Calcas, Bermudas, Saias  ; Nao  ; Nao  ;14.12-6-02;14.12-6  Confec��o de pe�as do vestu�rio, exceto roupas �ntimas  ;2
16;  73.304.958/0001-40  ; GONDOPAR  ;  Rua Henrique Coelho Neto, 1448  ; Vargem Grande  ; Pinhais  ;  PR  ; 83320-000  ;10; 0xx41 3667-4322  ; 13701675-39  ; atendimento@gondopar.com.br  ;60; Expositores, Gondolas, Prateleiras  ; Nao  ; Nao  ;31.02-1-00;31.02-1  Fabrica��o de m�veis com predomin�ncia de metal  ;3
17;  11.419.911/0001-74  ; A. YOSHII  ;  Av. Gurucaia, 400  ; Vila Bosque  ; Maringa  ;  PR  ; 87005-040  ;425; 0xx44 3023-4850  ; 90506052-02  ; ayoshii@ayoshii.com.br  ;400; Construcao Civil, Predios Residenciais  ; Nao  ; Nao  ;41.20-4-00;41.20-4  Constru��o de edif�cios  ;3
18;  02.719.299/0001-64  ; AMS ALUMiNIO  ;  Av. Itamaraty, 1700  ; Pq. Industrial  ; Rolandia  ;  PR  ; 86600-000  ;407; 0xx43 3255-7777  ; 90167455-85  ; mauricio@amsaluminio.com.br  ;100; Cantoneiras, Tubo Frisado, Rosetas  ; Nao  ; Nao  ;24.41-5-02;24.41-5  Metalurgia do alum�nio e suas ligas  ;4
19;  02.857.971/0001-88  ; FUCAM  ;  Rua Joao Mischiatti, S/n  ; Cj. Ignes Panichi Hamze  ; Cambara  ;  PR  ; 86390-000  ;407; 0xx43 3532-3299  ; 90174194-87  ; fucam@fucam.com.br  ;75; Construcao Civil, Pre-moldados  ; Nao  ; Nao  ;41.20-4-00;41.20-4  Constru��o de edif�cios  ;3
20;  05.766.253/0001-94  ; A1 TECNOLOGIA  ;  Rua Humberto Zanato, 10  ; Pinheirinho  ; Curitiba  ;  PR  ; 81870-250  ;0; 0xx41 3616-3616  ; 90286098-30  ; financeiro@a1.ind.br  ;67; Estruturas Metalicas, Tubulacoes  ; Nao  ; Nao  ;25.11-0-00;25.11-0  Fabrica��o de estruturas met�licas  ;4
21;  03.368.638/0001-78  ; AAM DO BRASIL  ;  Av. das Nacoes, 2051  ; Estacao  ; Araucaria  ;  PR  ; 83706-630  ;36; 0xx41 2141-1000  ; 90278169-21  ; gabrielaribeiro.decampos@aam.com.br  ;600; Pecas e Componentes Automotivos,  ; Sim  ; Sim  ;29.49-2-99;29.49-2  Fabrica��o de pe�as e acess�rios para ve�culos automotores n�o especificados anteriormente  ;3
22;  81.175.416/0001-42  ; AB AGROBRASIL  ;  Rua Joao Xxiii, 279  ; Centro  ; Santa Terezinha de Itaipu  ;  PR  ; 85875-000  ;620; 0xx45 3541-1352  ; 43600364-19  ; abagrobrasil@abagrobrasil.com.br  ;150; Adubos, Fertilizantes, Insumos  ; Sim  ; Sim  ;46.83-4-00;46.83-4  Com�rcio atacadista de defensivos agr�colas, adubos, fertilizantes e corretivos do solo  ;3
23;  00.922.274/0001-38  ;ABA ARQUITETURA E CONSTRU��ES LTDA;  Rua Jk, 1601  ; Centro  ; Cascavel  ;  PR  ; 85810-240  ;498; 0xx45 3035-4348  ; ISENTO  ; abafinanceiro@gmail.com  ;90; Construcao de Edificios  ; Nao  ; Nao  ;41.20-4-00;41.20-4  Constru��o de edif�cios  ;3
24;  75.729.038/0001-07  ; FRANGO MARINGa  ;  Rod. Br 376, S/n Km 427 - Lt. 145  ; Gleba Maringa  ; Maringa  ;  PR  ; 87070-810  ;425; 0xx44 3218-9000  ; 70111530-91  ; coroaves@coroaves.com.br  ;1000; Frango, Corte de Frango  ; Nao  ; Nao  ;10.12-1-01;10.12-1  Abate de su�nos, aves e outros pequenos animais  ;3
25;  04.890.725/0001-53  ; ABREUS PISO INDUSTRIAL  ;  Rua Des. Antonio de Paula, 950  ; Boqueirao  ; Curitiba  ;  PR  ; 81730-380  ;0; 0xx41 3286-5455  ; 90431452-80  ; tecnicos.abreus@terra.com.br  ;55; Construcao de Pisos Industriais  ; Nao  ; Nao  ;43.30-4-99;43.30-4  Obras de acabamento  ;3
26;  08.729.598/0001-66  ; ACABAMENTOS FANTASIA  ;  Av. Maranhao  ; Zona 7  ; Cianorte  ;  PR  ; 87200-000  ;507; 0xx44 3631-6925  ; 90399833-43  ; jovianeroncolato@hotmail.com  ;60; Confeccoes de Fantasias  ; Nao  ; Nao  ;14.12-6-01;14.12-6  Confec��o de pe�as do vestu�rio, exceto roupas �ntimas  ;2
27;  73.604.548/0001-14  ; SABOR & SABOR  ;  Rua Bom Jesus do Iguape, 2543  ; Boqueirao  ; Curitiba  ;  PR  ; 81650-030  ;0; 0xx41 3376-9481  ; 10197046-92  ; sabor@saboresabor.com.br  ;120; Croissant, Pao de Batata, Folhados  ; Nao  ; Nao  ;10.94-5-00;10.94-5  Fabrica��o de massas aliment�cias  ;3
28;  01.551.798/0001-22  ; YOK  ;  Av. Maringa, 455 B  ; Vila Emiliano Perneta  ; Pinhais  ;  PR  ; 83324-432  ;10; 0xx41 3544-7374  ; 90395233-42  ; vendas@yok.com.br  ;60; Motoredutores e Redutores Planetarios,  ; Sim  ; Sim  ;47.89-0-99;47.89-0  Com�rcio varejista de outros produtos novos n�o especificados anteriormente  ;1
29;  77.381.259/0001-54  ; MICHELaNGELO  ;  Rua Prof� Annette Macedo, 54  ; Jardim Botanico  ; Curitiba  ;  PR  ; 80210-360  ;0; 0xx41 3021-6000  ; 11400143-00  ; vendas@michelangelo.com.br  ;143; Chapas Em Granito e Marmore, Pedras Em  ; Sim  ; Sim  ;23.99-1-99;23.99-1  Fabrica��o de produtos de minerais n�o-met�licos n�o especificados anteriormente  ;3
30;  05.852.501/0001-10  ; ACOM SISTEMAS  ;  Rua Prof. Joao Argemiro Loyola, 74 2�  ; Seminario  ; Curitiba  ;  PR  ; 80240-530  ;0; 0xx41 3029-3003  ; 90287696-09  ; acom@acomsistemas.com.br  ;70; Softwares  ; Nao  ; Nao  ;62.01-5-00;62.01-5  Desenvolvimento de programas de computador sob encomenda  ;2
31;  02.554.135/0001-24  ; ACOME  ;  Rua Ver. Francois Abib, 400  ; Vila Sao Joao  ; Irati  ;  PR  ; 84500-000  ;154; 0xx42 3421-2500  ; 90159061-35  ; suporte@acome.com.br  ;100; Fios Automotivos, Cabos Eletricos  ; Sim  ; Sim  ;27.33-3-00;27.33-3  Fabrica��o de fios, cabos e condutores el�tricos isolados  ;3
32;  00.080.714/0001-57  ; AcOS CONTINENTE  ;  Rod. Br 277, 3851  ; Umbara  ; Curitiba  ;  PR  ; 81935-002  ;0; 0xx41 3227-8787  ; 10199384-13  ; acoscontinente@acoscontinente.com.br  ;70; Perfis Metalicos, Barras Laminadas, Tubos  ; Nao  ; Sim  ;46.85-1-00;46.85-1  Com�rcio atacadista de produtos sider�rgicos e metal�rgicos, exceto para constru��o  ;3
33;  02.596.390/0001-30  ; AcOS PINHAIS LTDA  ;  Av. das Americas, 293 Barracao  ; Tres Marias  ; Sao Jose dos Pinhais  ;  PR  ; 83030-640  ;16; 0xx41 3382-1455  ; 90163195-60  ; acos@acospinhais.com.br  ;53; Tubos, Ferros, Trefilados  ; Nao  ; Nao  ;25.42-0-00;25.42-0  Fabrica��o de artigos de serralheria, exceto esquadrias  ;3
34;  72.469.471/0001-54  ; ACQUA GELATA  ;  Rua Mal. Castelo Branco, 430  ; Pq. Industrial Bela Vista 2  ; Paicandu  ;  PR  ; 87140-000  ;439; 0xx44 3244-1266  ; 70119161-76  ; comercial@acquagelata.com.br  ;55; Resfriadores de Leite, Bebedouros  ; Nao  ; Nao  ;28.23-2-00;28.23-2 Fabrica��o de m�quinas e aparelhos de refrigera��o e ventila��o para uso industrial e comercial ;3
35;  03.114.567/0001-87  ; LAMINADORA COLODA  ;  Rua Marcilio Aguiar Pereira, 105  ; Sao Cristovao  ; Bituruna  ;  PR  ; 84640-000  ;316; 0xx42 3553-2417  ; 90184656-10  ; coloda@coloda.com.br  ;70; Compensados  ; Sim  ; Sim  ;16.21-8-00;16.21-8 Fabrica��o de madeira laminada e de chapas de madeira compensada, prensada e aglomerada ;3
36;  04.484.640/0001-75  ; ADEX - TINTAS E VERNIZES  ;  Av. Maracana, 8400  ; Pq. Industrial  ; Arapongas  ;  PR  ; 86703-000  ;379; 0xx43 3276-9898  ; 90236177-46  ; recepcao@adex.com.br  ;57; Tintas, Vernizes, Esmaltes  ; Sim  ; Nao  ;20.71-1-00;20.71-1  Fabrica��o de tintas, vernizes, esmaltes e lacas  ;3
37;  05.078.047/0001-91  ; ADM ENGENHARIA LTDA  ;  Rua Dom Pedro Ii, 2789  ; Centro  ; Toledo  ;  PR  ; 85902-010  ;540; 0xx45 3055-2474  ; 90258255-08  ; ademar@admengenharia.com.br  ;270; Predios  ; Nao  ; Nao  ;41.20-4-00;41.20-4  Constru��o de edif�cios  ;3
38;  52.059.268/0003-64  ; ADRAM S/A  ;  Rua Sao Jorge, 669  ; Centro  ; Maua da Serra  ;  PR  ; 86828-000  ;313; 0xx43 3464-8000  ; 65700029-94  ; adram.maua@adram.com.br  ;346; Germes, Amidos, Farelo  ; Nao  ; Sim  ;10.65-1-01;10.65-1  Fabrica��o de amidos e f�culas de vegetais e de �leos de milho  ;3
39;  52.059.268/0005-26  ; ADRAM  ;  Rua Ismael Pinto Siqueira, 1515  ; Centro  ; Faxinal  ;  PR  ; 86840-000  ;329; 0xx43 3461-8800  ; 64000217-49  ; adram.faxinal@adram.com.br  ;300; Creme de Milho, Germen de Milho, Flocados  ; Sim  ; Sim  ;10.64-3-00;10.64-3  Fabrica��o de farinha de milho e derivados, exceto �leos de milho  ;3
40;  07.872.967/0001-02  ; AEROFLEX INDuSTRIA DE AEROSOL LTDA  ;  Rod. Br 116, 26640 Km 120  ; Tatuquara  ; Curitiba  ;  PR  ; 81690-500  ;0; 0xx41 3265-7730  ; 90365322-19  ; contato@aeroflex.ind.br  ;110; Anti Embacante, Cristalizador de Vidros,  ; Nao  ; Nao  ;20.73-8-00;20.73-8  Fabrica��o de impermeabilizantes, solventes e produtos afins  ;3
41;  41.757.527/0005-76  ; AETHRA SISTEMAS AUTOMOTIVOS S/A  ;  Rua Rocha Pombo, 2561  ; aguas Belas  ; Sao Jose dos Pinhais  ;  PR  ; 83010-620  ;16; 0xx41 2117-7191  ; 90283126-68  ; anderson.cicarello@aethra.com.br  ;250; Pecas Estampadas Automotivas  ; Nao  ; Nao  ;29.49-2-99;29.49-2  Fabrica��o de pe�as e acess�rios para ve�culos automotores n�o especificados anteriormente  ;3
42;  80.638.661/0001-86  ; AFFONSO DITZEL & CIA LTDA  ;  Rua Sao Josafat, 1850  ; Trevo  ; Prudentopolis  ;  PR  ; 84400-000  ;203; 0xx42 3446-1440  ; 21400476-38  ; adcl@affonsoditzel.com.br  ;50; Madeiras Serradas e Secas Em Estufas,  ; Sim  ; Sim  ;16.10-2-01;16.10-2  Desdobramento de madeira  ;3
43;  04.905.503/0001-67  ; ANGELIKA FAVORETTO  ;  Rua Joao Pessoa, 71  ; Jardim Agari  ; Londrina  ;  PR  ; 86020-220  ;387; 0xx43 3026-5873  ; 90272596-23  ; angelikafavoretto@gmail.com  ;50; Camisas, Blusa, Calca Jeans  ; Nao  ; Nao  ;14.11-8-01;14.11-8  Confec��o de roupas �ntimas  ;2
44;  09.168.271/0001-25  ; AGISA CONTAINNERS  ;  Br 277, 10.000 Km 104,5  ; Jardim Guarany  ; Campo Largo  ;  PR  ; 83608-000  ;30; 0xx41 3555-3669  ; 90442051-46  ; suportecomercial.pr@agisacontainers.com.br  ;60; Containers  ; Nao  ; Nao  ;77.39-0-99;77.39-0  Aluguel de m�quinas e equipamentos n�o especificados anteriormente  ;1
45;  01.070.163/0001-03  ; AGM  ;  Rua Dirce Marta Stritzinger, 40  ; Tijuco Preto  ; Rio Negro  ;  PR  ; 83880-000  ;121; 0xx47 3645-1822  ; 12601739-16  ; agm@agm.ind.br  ;130; Bobinas Plasticas Termoencolhivel, Sacos  ; Sim  ; Nao  ;22.21-8-00;22.21-8  Fabrica��o de laminados planos e tubulares de material pl�stico  ;3
46;  78.141.843/0001-03  ; AZF  ;  Rua Dr. Munhoz da Rocha, 23  ; Centro  ; Irati  ;  PR  ; 84500-000  ;154; 0xx42 3423-1208  ; 21700455-16  ; lucimara.azf@gmail.com  ;94; Madeiras Laminadas, Madeiras Compensadas, ; Nao  ; Nao  ;16.21-8-00;16.21-8 Fabrica��o de madeira laminada e de chapas de madeira compensada, prensada e aglomerada ;3
47;  77.837.979/0001-81  ; AGRiCOLA HORIZONTE LTDA  ;  Av. Irio Jacob Welp, 600  ; Centro  ; Marechal Candido Rondon  ;  PR  ; 85960-000  ;590; 0xx45 3284-8500  ; 41701975-80  ; horizonte@agricolahorizonte.com.br  ;222; Adubos, Sementes, Algodao  ; Sim  ; Sim  ;46.23-1-99;46.23-1 Com�rcio atacadista de animais vivos, alimentos para animais e mat�rias-primas agr�colas, exceto caf� e soja ;2
48;  74.101.569/0010-70  ; BIG FRANGO  ;  Rod. Br 369, S/n Km 178  ; Contorno Sul  ; Rolandia  ;  PR  ; 86600-000  ;407; 0xx43 2101 8201  ; 90203654-79  ; elainebrandao@bigfrango.com.br  ;2000; Materia Prima Para Racao, Cortes de Frango  ; Nao  ; Sim  ;10.66-0-00;10.66-0  Fabrica��o de alimentos para animais  ;3
49;  80.867.351/0002-14  ; AGRO FLORESTAL SEPAC  ;  Rod. Br 405, S/n Km 58 - Faz. Palmeira  ; Ipanema do Norte  ; Guaraquecaba  ;  PR  ; 83390-000  ;166; 0xx42 3542-1014  ; 90362746-86  ; agrosepac@agrosepac.com.br  ;100; Palmito Rodela, Palmito Tolete, Palmito  ; Nao  ; Nao  ;10.32-5-01;10.32-5  Fabrica��o de conservas de legumes e outros vegetais  ;3
50;  08.711.382/0001-73  ; AMIDOS DE YAMAKAWA  ;  Rod. Amapora/planaltina, S/n Km 4,5  ; Zona Rural  ; Amapora  ;  PR  ; 87850-000  ;554; 0xx44 3437-8000  ; 90411184-80  ; vendas@amidosyamakawa.com.br  ;70; Feculas de Mandioca, Polvilho Azedo  ; Sim  ; Nao  ;10.65-1-01;10.65-1  Fabrica��o de amidos e f�culas de vegetais e de �leos de milho  ;3
51;  81.248.569/0001-72  ; aMIDOS DE YAMAKAWA  ;  Rod. Amapora/planaltina, S/n Km 4,5  ; Zona Rural  ; Amapora  ;  PR  ; 87850-000  ;554; 0xx44 3437-8000  ; 73100054-90  ; vendas@amidosyamakawa.com.br  ;70; Feculas de Mandioca, Polvilho Azedo  ; Nao  ; Nao  ;10.65-1-01;10.65-1  Fabrica��o de amidos e f�culas de vegetais e de �leos de milho  ;3
52;  75.007.385/0001-18  ; AGROCETE  ;  Rua Ana Scremin, 800  ; Dist. Industrial  ; Ponta Grossa  ;  PR  ; 84043-465  ;114; 0xx42 3228-1229  ; 20108857-71  ; isabele@agrocete.com.br  ;70; Fertilizantes  ; Sim  ; Sim  ;20.13-4-00;20.13-4  Fabrica��o de adubos e fertilizantes  ;3
53;  00.429.957/0001-58  ; AGROINDuSTRIA DE CARNES NOBRES  ;  Rua Santiago, 3900 Fds. Rua Nova Alianca  ; Jardim Maria Lucia  ; Umuarama  ;  PR  ; 87501-655  ;559; 0xx44 3639-3161  ; 90409973-23  ; esplanadacarnes@hotmail.com  ;89; Abate de Bovinos  ; Nao  ; Nao  ;10.11-2-01;10.11-2  Abate de reses, exceto su�nos  ;3
54;  01.827.177/0001-29  ; FRANGOS PRAMIN  ;  Rod. Pr 466, S/n Km 56 - Cx. P. 2  ; Zona Rural  ; Rondon  ;  PR  ; 87800-000  ;544; 0xx44 3672-8000  ; 90129138-15  ; rh2pramin@agroparati.com.br  ;650; Frango Congelado, Frango Resfriado  ; Nao  ; Sim  ;10.12-1-01;10.12-1  Abate de su�nos, aves e outros pequenos animais  ;3
55;  01.827.177/0002-00  ; FRANGOS AVERAMA  ;  Rod. Pr 323, S/n Km 311  ; Pq. Industrial 3  ; Umuarama  ;  PR  ; 87507-000  ;559; 0xx44 3621-6800  ; 90315253-20  ; rhaverama@agroparati.com.br  ;500; Frangos  ; Nao  ; Sim  ;10.12-1-01;10.12-1  Abate de su�nos, aves e outros pequenos animais  ;3
56;  03.125.991/0001-27  ; FRIGORiFICO BOLSON  ;  Rua Ver. Waldomiro Franco de Souza, S/n  ; Zona Suburbana  ; Toledo  ;  PR  ; 85900-970  ;540; 0xx45 3277-3340  ; 90202702-57  ; maristela@frigorificobolson.com.br  ;60; Carnes Suinas, Embutidos de Carne Suina  ; Sim  ; Nao  ;01.54-7-00;01.54-7  Cria��o de su�nos  ;3
57;  76.809.151/0001-57  ; AGROPECUaRIA BOUTIN  ;  Rua Lothario Boutin, 586  ; Boqueirao  ; Porto Amazonas  ;  PR  ; 84140-000  ;83; 0xx42 3256-1112  ; 13200118-99  ; agropec@boutin.com.br  ;95; Pera, Ameixa, Caqui  ; Sim  ; Sim  ;01.33-4-07;01.33-4  Cultivo de frutas de lavoura permanente, exceto laranja e uva  ;3
58;  77.567.899/0001-53  ; AGROPECUaRIA IPe LTDA  ;  Av. Jose Custodio de Oliveira, 1325  ; Centro  ; Campo Mourao  ;  PR  ; 87300-020  ;455; 0xx44 3518-3300  ; 80103966-98  ; agropecuariaipe@agropecuariaipe.com.br  ;180; Soja e Milho, Semente de Soja, Gado  ; Nao  ; Nao  ;01.15-6-00;01.15-6  Cultivo de soja  ;3
59;  76.593.409/0001-20  ; aGUA MINERAL TIMBu LTDA  ;  Rod. dos Minerios, 12939 Km 22  ; Jardim Dona Belizaria  ; Almirante Tamandare  ;  PR  ; 83514-000  ;15; 0xx41 3657-2141  ; 10200002-16  ; atendimento@aguatimbu.com.br  ;70; ; Nao  ; Nao  ;11.21-6-00;11.21-6  Fabrica��o de �guas envasadas  ;3
60;  78.434.982/0001-17  ; aGUIA FLORESTAL INDuSTRIA DE  ;  Av. Sen. Flavio Carvalho Guimaraes, 3505  ; Boa Vista  ; Ponta Grossa  ;  PR  ; 84070-460  ;114; 0xx42 3220-2677  ; 20113288-68  ; elisa@aguiaflorestal.com.br  ;160; Clear Blocks, Paineis Colados, Vigas  ; Sim  ; Sim  ;16.10-2-01;16.10-2  Desdobramento de madeira  ;3
61;  78.434.982/0002-06  ; aGUIA FLORESTAL  ;  Est. do Mato Queimado, S/n  ; Itaiacoca  ; Ponta Grossa  ;  PR  ; 88110-000  ;114; 0xx42 3220-2666  ; 20113772-14  ; alvaro@aguiaflorestal.com.br  ;120; Madeira Serrada  ; Nao  ; Sim  ;16.10-2-01;16.10-2  Desdobramento de madeira  ;3
62;  78.434.982/0005-40  ; aGUIA FLORESTAL INDuSTRIA DE  ;  Av. B, S/n  ; Dist. Industrial Ciro Martins  ; Ponta Grossa  ;  PR  ; 84032-455  ;114; 0xx42 3220-2677  ; 90199379-30  ; elisa@aguiaflorestal.com.br  ;53; Clear Blocks, Paineis Colados, Vigas  ; Sim  ; Sim  ;16.10-2-01;16.10-2  Desdobramento de madeira  ;3
63;  05.372.770/0001-89  ; BRINQUEDOS UNIaO  ;  Av. Pres. Getulio Vargas, 914  ; Centro  ; Rolandia  ;  PR  ; 86600-000  ;407; 0xx43 3311-0668  ; 90350717-90  ; josue@brinquedosuniao.com  ;182; Chocolates, Brinquedos Com Doces, Balas,  ; Nao  ; Nao  ;10.99-6-99;10.99-6  Fabrica��o de produtos aliment�cios n�o especificados anteriormente  ;3
64;  81.676.124/0001-93  ; aGUIA QUiMICA  ;  Av. Sen. Flavio Carvalho Guimaraes, 3505  ; Boa Vista  ; Ponta Grossa  ;  PR  ; 84070-460  ;114; 0xx42 3220-2699  ; 90191495-84  ; sac@aguiaquimica.com.br  ;130; Resinas Para Tintas  ; Nao  ; Nao  ;20.99-1-99;20.99-1  Fabrica��o de produtos qu�micos n�o especificados anteriormente  ;3
65;  81.075.137/0001-07  ; aGUIA SISTEMAS  ;  Av. Sen. Flavio Carvalho Guimaraes, 3505  ; Boa Vista  ; Ponta Grossa  ;  PR  ; 84070-460  ;114; 0xx42 3220-2666  ; 20104146-55  ; vendas@aguiasistemas.com.br  ;1000; Porta Pallets, Sistema Dinamico, Mezaninos  ; Sim  ; Sim  ;31.02-1-00;31.02-1  Fabrica��o de m�veis com predomin�ncia de metal  ;3
66;  82.240.847/0001-08  ; AJITEL  ;  Rua Rio Parana, 1214  ; Jardim Weissopolis  ; Pinhais  ;  PR  ; 83322-000  ;10; 0xx41 3667-1414  ; 13702357-12  ; ajitelcomponentes@ajitel.com.br  ;95; Cabos Para Telecomunicacoes  ; Sim  ; Sim  ;26.32-9-00;26.32-9  Fabrica��o de aparelhos telef�nicos e de outros equipamentos de comunica��o  ;3
67;  05.876.349/0001-05  ; AKER SOLUTIONS  ;  Rua Francisco Sobania, 1300  ; Cic  ; Curitiba  ;  PR  ; 81460-130  ;0; 0xx41 3227-8400  ; 90293927-03  ; comunicacao@akersolutions.com  ;1300; Equipamentos Para Exploracao e Prospeccaode Petroleo, arvore de Natal Molhada, Manifold  ; Sim  ; Sim  ;28.51-8-00;28.51-8  Fabrica��o de m�quinas e equipamentos para a prospec��o e extra��o de petr�leo  ;3
